date,forecast_demand,lower_95,upper_95
2026-07-01,150.1814528631075,147.05689668860515,153.30600903760984
2026-07-02,153.35929383857155,149.7238605371588,156.9947271399843
2026-07-03,167.3766243388143,163.67909217972817,171.07415649790045
2026-07-04,180.25242160241385,176.53471345866646,183.97012974616123
2026-07-05,164.34067063819998,160.60958518195906,168.0717560944409
2026-07-06,149.41739021643718,145.67437176580665,153.1604086670677
2026-07-07,152.4022930982314,148.64769370778293,156.1568924886799
2026-07-08,156.5769494105926,151.35679033657283,161.79710848461235
2026-07-09,159.74538948519867,154.0477790087395,165.44299996165785
2026-07-10,173.6893651153196,167.90199607312107,179.4767341575181
2026-07-11,186.49656697232092,180.66673595013816,192.32639799450368
2026-07-12,170.67018657546026,164.80684154188282,176.5335316090377
2026-07-13,155.82690629015693,149.9321249693055,161.72168761100835
2026-07-14,158.79581731861393,152.87019527714025,164.7214393600876
2026-07-15,162.94810163176993,155.82354708015308,170.07265618338678
2026-07-16,166.09956140111177,158.51281447155378,173.68630833066976
2026-07-17,179.96880733064688,172.26690325871158,187.67071140258219
2026-07-18,192.70737173497355,184.93954453856787,200.47519893137923
2026-07-19,176.96580945246822,169.14211365032793,184.7895052546085
2026-07-20,162.20207856349063,154.3250195808755,170.07913754610576
2026-07-21,165.1550783465583,157.22549595091277,173.08466074220382
2026-07-22,169.28510937740538,160.27570431268967,178.29451444212108
2026-07-23,172.4196795701344,162.94749656946607,181.89186257080274
2026-07-24,186.2145962335636,176.60245546918256,195.82673699794466
2026-07-25,198.88489101831263,189.18316127996275,208.5866207566625
2026-07-26,183.22769228216023,173.44717252261452,193.00821204170595
2026-07-27,168.54308446069274,158.6866380578993,178.39953086348618
2026-07-28,171.48025827111502,161.54897532937846,181.41154121285157
2026-07-29,175.58815528133212,164.6467013740975,186.52960918856675
2026-07-30,178.70592641352292,167.29603482636153,190.1158180006843
